排名,排名变化,姓名_中文,姓名_英文,年龄,性别,出生地_中文,出生地_英文,常住地_中文,教育程度,毕业院校,公司名称_中文,公司名称_英文,公司总部_中文,公司总部_英文,所在行业_中文,所在行业_英文,财富值_人民币_亿,财富值_美元_万,财富变化,财富来源,关系,年份
1,4,张一鸣,Zhang Yiming,41,先生,中国-福建-龙岩,China-Fujian-Longyan,中国-北京,本科,南开,字节跳动,ByteDance,北京,Beijing,社交媒体,Social Media,3500.0,49300.0,43%,,未知,2024
2,-1,钟睒睒,Zhong Shanshan,70,先生,中国-浙江-绍兴,,中国-浙江-杭州,,,养生堂,YST,浙江杭州,Zhejiang,饮料、医疗保健,"Drinks, Pharmaceuticals",3400.0,47900.0,-24%,,未知,2024
3,-1,马化腾,Ma Huateng,53,先生,中国-海南,China-Hainan,中国-广东-深圳,本科,深圳大学,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,3150.0,44400.0,13%,,未知,2024
4,-1,黄峥,Huang Zheng,44,先生,中国-浙江-杭州,China-Zhejiang-Hangzhou,中国-上海,硕士,浙大、威斯康星大学,拼多多,Pinduoduo,上海长宁,Shanghai,购物网站,E-Commerce,2450.0,34500.0,-9%,,未知,2024
5,3,何享健,He Xiangjian,82,先生,中国-广东-佛山,China-Guangdong-Foshan,中国-广东-佛山,,,美的,Midea,广东佛山,Guangdong,家电制造,Household Appliances,2350.0,33100.0,18%,,家族,2024
6,-2,曾毓群,Zeng Yuqun,56,先生,中国-福建-宁德,China-Fujian-Ningde,中国-福建-宁德,博士,上交大、中科院,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,2000.0,28200.0,-20%,,未知,2024
6,0,丁磊,Ding Lei,53,先生,中国-浙江-宁波,China-Zhejiang-Ningbo,中国-浙江-杭州,本科,电子科技,网易,Netease,浙江杭州,Zhejiang,互联网技术,Internet Services,2000.0,28200.0,-17%,,未知,2024
6,1,李嘉诚,Li Ka-shing,96,先生,中国-香港,China-Hong Kong,中国-香港,,,长江实业,Cheung Kong,香港,Hong Kong,投资,Investments,2000.0,28200.0,-5%,,父子,2024
9,2,李兆基,Lee Shau Kee,96,先生,中国-广东-佛山,China-Guangdong-Foshan,中国-香港,,,恒基兆业,Henderson Land,香港,Hong Kong,房地产,Estate Holding,1750.0,24600.0,9%,,家族,2024
10,0,马云,Ma Yun,60,先生,中国-浙江-杭州,China-Zhejiang-Hangzhou,中国-浙江-杭州,本科,杭州师范学院,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",1650.0,23200.0,-3%,,家族,2024
11,1,严昊,Yan Hao,38,先生,中国-江苏-淮安,China -Jiangsu - Huai’an,中国-江苏-南京,本科,南京师范大学,太平洋建设,China Pacific Construction,新疆乌鲁木齐,Xinjiang,基础建设,Roads,1450.0,20400.0,-3%,,未知,2024
11,-2,李书福,Li Shufu,61,先生,中国-浙江-台州,China-Zhejiang-Taizhou,中国-浙江-杭州,博士,哈工大、燕山、哈工大,吉利,Geely,浙江杭州,Zhejiang,汽车制造,Car Manufacturing,1450.0,20400.0,-17%,,家族,2024
11,5,张刚,Zhang Gang,43,先生,中国-山东-聊城,China -Shandong - Liaocheng,中国-山东-聊城,硕士,西北工业、澳大利亚中央昆士兰大学,信发铝电,Xinfalyudian,山东聊城,Shandong,电解铝、氧化铝,Aluminum,1450.0,20400.0,7%,,家族,2024
14,0,李蔡美灵,Lee Choi Mei Ling,未知,先生,中国-香港,China-Hong Kong,中国-香港,,,李锦记,Lee Kun Kee,香港,Hong Kong,调味品,Food Processing,1400.0,19700.0,0%,,家族,2024
14,0,吕向阳,Lyu Xiangyang,61,先生,中国-安徽-芜湖,China -Anhui - Wuhu,中国-广东-广州,,,融捷,Youngy,广东广州,Guangdong,投资,Investments,1400.0,19700.0,0%,,夫妇,2024
16,-3,秦英林,Qin Yinglin,59,先生,中国-河南-南阳,China - Henan - Nanyang,中国-河南-南阳,本科,河南农业大学,牧原,Muyuan,河南南阳,Henan,畜牧,Pig Farming,1350.0,19000.0,-7%,,夫妇,2024
16,81,赵长鹏,Zhao Changpeng,47,先生,中国-江苏-连云港,China-Jiangsu-Lianyungang,阿联酋迪拜,本科,麦吉尔大学,币安,Binance,美国,USA,虚拟货币交易所,Blockchain,1350.0,19000.0,200%,,未知,2024
16,0,王传福,Wang Chuanfu,58,先生,中国-安徽-芜湖,China -Anhui - Wuhu,中国-广东-深圳,本科,中南,比亚迪,BYD,广东深圳,Guangdong,汽车、充电电池,"Automobile, New Energy",1350.0,19000.0,0%,,未知,2024
19,15,雷军,Lei Jun,55,先生,中国-湖北-仙桃,China -Hubei - Fairy Peach,中国-北京,本科,武大,小米,Xiaomi,北京,Beijing,智能硬件与技术、投资,"IoT, Investments",1300.0,18300.0,38%,,未知,2024
20,0,陈建华,Chen Jianhua,53,先生,中国-江苏-苏州,China-Jiangsu-Suzhou,中国-江苏-苏州,硕士,南京师范,恒力,Hengli,江苏苏州,Jiangsu,化纤、石化、房地产,"Textiles, Chemical Fiber, Real Estate",1250.0,17600.0,0%,,夫妇,2024
20,6,张志东,Zhang Zhidong,52,先生,中国-广东-东莞,China-Guangdong-Dongguan,中国-广东-深圳,硕士,深圳、华南理工,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,1250.0,17600.0,14%,,未知,2024
22,-4,刘永行,Liu Yongxing,76,先生,中国-四川-成都,China - Sichuan-Chengdu,中国-上海,博士,西华、恒生国际、美国波士顿,东方希望,East Hope,上海浦东,Shanghai,氧化铝、重化工、饲料,"Aluminium, Feed",1200.0,16900.0,-8%,,父子,2024
23,-3,王卫,Wang Wei,54,先生,中国-上海,China-Shanghai,中国-香港,,,顺丰,SF,广东深圳,Guangdong,快递,Express Delivery,1100.0,15500.0,-12%,,未知,2024
23,1,魏建军,Wei Jianjun,60,先生,中国-河北-保定,China-Hebei-Baoding,中国-河北-保定,,,长城,Great Wall Motor,河北保定,Hebei,汽车制造,Automobile,1100.0,15500.0,-8%,,夫妇,2024
