日期,白天天气,夜晚天气,最高温,最低温,白天风力,夜晚风力
2022年01月01日,多云,多云,7.0,-7.0,北风 5-6级,北风 5-6级
2022年01月02日,晴,多云,0.0,-7.0,北风 3-4级,北风 3-4级
2022年01月03日,多云,晴,4.0,-6.0,西风 4-5级,西风 4-5级
2022年01月04日,晴,多云,0.0,-5.0,东北风 3-4级,东北风 3-4级
2022年01月05日,多云,晴,1.0,-4.0,西风 4-5级,西风 4-5级
2022年01月06日,晴,晴,0.0,-5.0,北风 4-5级,北风 4-5级
2022年01月07日,晴,晴,5.0,-3.0,西南风 4-5级,西南风 4-5级
2022年01月08日,晴,晴,4.0,-5.0,西风 4-5级,西风 4-5级
2022年01月09日,多云,多云,0.0,-5.0,北风 3-4级,北风 3-4级
2022年01月10日,阴,晴,-2.0,-8.0,北风 4-5级,北风 4-5级
2022年01月11日,晴,多云,-5.0,-9.0,北风 4-5级,北风 4-5级
2022年01月12日,小到中雪,多云,-1.0,-7.0,北风 4-5级,北风 4-5级
2022年01月13日,晴,晴,-2.0,-7.0,北风 4-5级,北风 4-5级
2022年01月14日,晴,多云,4.0,-3.0,西南风 4-5级,西南风 4-5级
2022年01月15日,多云,晴,4.0,-7.0,北风 4-5级,北风 4-5级
2022年01月16日,晴,晴,-1.0,-8.0,北风 3-4级,北风 3-4级
2022年01月17日,晴,晴,-1.0,-8.0,北风 4-5级,北风 4-5级
2022年01月18日,多云,小雪,2.0,-7.0,南风 4-5级,南风 4-5级
2022年01月19日,多云,晴,-7.0,-12.0,北风 5-6级,北风 5-6级
2022年01月20日,晴,晴,-5.0,-11.0,北风 4-5级,北风 4-5级
,,,,,,
2022年01月21日,多云,小雪,-2.0,-8.0,北风 3-4级,北风 3-4级
2022年01月22日,小雪,多云,0.0,-6.0,北风 4-5级,北风 4-5级
2022年01月23日,晴,晴,-2.0,-6.0,北风 4-5级,北风 4-5级
2022年01月24日,多云,多云,-2.0,-6.0,北风 4-5级,北风 4-5级
2022年01月25日,多云,晴,2.0,-6.0,西北风 4-5级,西北风 4-5级
2022年01月26日,多云,多云,-1.0,-5.0,北风 4-5级,北风 4-5级
2022年01月27日,晴,多云,-2.0,-5.0,北风 3-4级,北风 3-4级
2022年01月28日,晴,晴,-2.0,-6.0,北风 3-4级,北风 3-4级
2022年01月29日,晴,晴,-1.0,-6.0,北风 3-4级,北风 3-4级
2022年01月30日,晴,多云,3.0,-3.0,西北风 4-5级,西北风 4-5级
2022年01月31日,小雪,多云,3.0,-6.0,北风 4-5级,北风 4-5级
2022年02月01日,晴,晴,-3.0,-6.0,北风 4-5级,北风 4-5级
2022年02月02日,晴,晴,0.0,-5.0,西北风 3-4级,西北风 3-4级
2022年02月03日,晴,晴,1.0,-7.0,北风 3-4级,北风 3-4级
2022年02月04日,多云,晴,-4.0,-9.0,西北风 4-5级,西北风 4-5级
2022年02月05日,晴,晴,0.0,-6.0,西北风 4-5级,西北风 4-5级
2022年02月06日,晴,多云,0.0,-3.0,西北风 4-5级,西北风 4-5级
2022年02月07日,多云,晴,3.0,-3.0,北风 3-4级,北风 3-4级
2022年02月08日,晴,晴,5.0,-1.0,西南风 3-4级,西南风 3-4级
2022年02月09日,晴,晴,7.0,1.0,西南风 3-4级,西南风 3-4级
2022年02月10日,晴,晴,8.0,1.0,西南风 3-4级,西南风 3-4级
2022年02月11日,晴,晴,7.0,-2.0,北风 4-5级,北风 4-5级
2022年02月12日,多云,阴,2.0,-4.0,东北风 4-5级,东北风 4-5级
2022年02月13日,阴,小到中雪,2.0,-6.0,东北风 4-5级,东北风 4-5级
2022年02月14日,阵雪,晴,-5.0,-9.0,北风 4-5级,北风 4-5级
2022年02月15日,多云,多云,-7.0,-9.0,西北风 4-5级,西北风 4-5级
2022年02月16日,多云,晴,-6.0,-9.0,北风 4-5级,北风 4-5级
2022年02月17日,晴,多云,-2.0,-8.0,北风 3-4级,北风 3-4级
2022年02月18日,阴,多云,2.0,-6.0,西南风 4-5级,西南风 4-5级
2022年02月19日,晴,晴,-4.0,-7.0,西北风 4-5级,西北风 4-5级
2022年02月20日,晴,晴,1.0,-7.0,西北风 4-5级,西北风 4-5级
,,,,,,
2022年02月21日,晴,小雪,-2.0,-6.0,北风 4-5级,北风 4-5级
2022年02月22日,晴,晴,-2.0,-7.0,西北风 4-5级,西北风 4-5级
2022年02月23日,晴,晴,2.0,-5.0,西风 4-5级,西风 4-5级
2022年02月24日,晴,晴,7.0,1.0,西南风 4-5级,西南风 4-5级
2022年02月25日,晴,雨夹雪,9.0,3.0,西南风 4-5级,西南风 4-5级
2022年02月26日,多云,晴,6.0,2.0,北风 4-5级,北风 4-5级
2022年02月27日,晴,晴,10.0,2.0,西南风 3-4级,西南风 3-4级
2022年02月28日,多云,阴,10.0,0.0,南风 4-5级,南风 4-5级
2022年03月01日,晴,晴,5.0,1.0,西北风 3-4级,西北风 3-4级
2022年03月02日,晴,晴,9.0,1.0,西南风 4-5级,西南风 4-5级
2022年03月03日,晴,晴,9.0,2.0,东南风 4-5级,东南风 4-5级
2022年03月04日,晴,晴,13.0,1.0,西北风 5-6级,西北风 5-6级
2022年03月05日,晴,晴,4.0,0.0,西北风 5-6级,西北风 5-6级
2022年03月06日,多云,阴,6.0,1.0,南风 4-5级,南风 4-5级
2022年03月07日,多云,晴,10.0,2.0,西南风 4-5级,西南风 4-5级
2022年03月08日,晴,晴,10.0,2.0,南风 3-4级,南风 3-4级
2022年03月09日,多云,多云,9.0,1.0,东南风 4-5级,东南风 4-5级
2022年03月10日,晴,多云,14.0,4.0,南风 4-5级,南风 4-5级
2022年03月11日,多云,多云,10.0,5.0,东北风 4-5级,东北风 4-5级
2022年03月12日,小到中雨,多云,9.0,5.0,南风 4-5级,南风 4-5级
2022年03月13日,多云,小到中雨,9.0,5.0,东北风 4-5级,东北风 4-5级
2022年03月14日,阴,多云,8.0,2.0,西北风 3-4级,西北风 3-4级
2022年03月15日,多云,多云,13.0,3.0,南风 4-5级,南风 4-5级
2022年03月16日,多云,多云,7.0,0.0,东北风 4-5级,东北风 4-5级
2022年03月17日,多云,多云,5.0,-1.0,北风 5-6级,北风 5-6级
2022年03月18日,雨夹雪,中雪,5.0,-1.0,北风 4-5级,北风 4-5级
2022年03月19日,多云,晴,3.0,-2.0,北风 5-6级,北风 5-6级
2022年03月20日,晴,晴,7.0,2.0,北风 3-4级,北风 3-4级
,,,,,,
2022年03月21日,多云,晴,9.0,2.0,西南风 3-4级,西南风 3-4级
2022年03月22日,多云,阴,8.0,4.0,西南风 3-4级,西南风 3-4级
2022年03月23日,晴,多云,11.0,5.0,西南风 4-5级,西南风 4-5级
2022年03月24日,多云,阴,14.0,8.0,南风 4-5级,南风 4-5级
2022年03月25日,中到大雨,小雨,9.0,6.0,东北风 4-5级,东北风 4-5级
